Time,Agent_0_X,Agent_0_Y,Agent_0_Z,Agent_1_X,Agent_1_Y,Agent_1_Z,Agent_2_X,Agent_2_Y,Agent_2_Z
0.0,0.0,0.0,0.20000972222222224,0.0,0.3,0.4000097222459077,0.0,-0.2,0.6000097222222222
0.016666666666666666,0.0,0.0,0.20002915885810202,-8.4692735345703e-42,0.3,0.4000291589022835,0.0,-0.2,0.6000291588581019
0.03333333333333333,0.0,0.0,0.2000583008655911,7.549617586881903e-26,0.29999982091023447,0.40005830087438465,0.0,-0.2,0.600058300865591
0.05,0.0,0.0,0.20009713798562237,8.1825730463138525e-25,0.2999991118229977,0.4000971377109071,0.0,-0.2,0.6000971379856223
0.06666666666666667,0.0,0.0,0.20014565875854107,3.9361758151306856e-24,0.2999973663257629,0.4001456574880439,0.0,-0.2,0.600145658758541
0.08333333333333333,0.0,0.0,0.20020385054050027,1.265203621122483e-23,0.29999394724279976,0.4002038466893803,0.0,-0.2,0.6002038505405002
0.1,0.0,0.0,0.20027169951981905,3.1927372785441154e-23,0.2999881187374232,0.4002716901211597,0.0,-0.2,0.600271699519819
0.11666666666666667,0.0,0.0,0.20034919073330137,6.847451568468468e-23,0.2999790842953883,0.40034917090144456,0.0,-0.2,0.6003491907333013
0.13333333333333333,0.0,0.0,0.200436308082514,1.3019138103371884e-22,0.2999660287646351,0.4004362705386954,0.0,-0.2,0.6004363080825139
0.15,0.0,0.0,0.20053303435002132,2.257271148730363e-22,0.2999481623672955,0.40053296912647846,0.0,-0.2,0.6005330343500213
0.16666666666666666,0.0,0.0,0.20063935121557586,3.6449533455623466e-22,0.29992476444230953,0.40063924561989384,0.0,-0.2,0.6006393512155758
0.18333333333333332,0.0,0.0,0.20075523927226216,5.5601947819064835e-22,0.29989522463301327,0.4007550780740567,0.0,-0.2,0.600755239272262
0.2,0.0,0.0,0.2008806780425929,8.091319651252703e-22,0.2998590447310198,0.4008804437627086,0.0,-0.2,0.6008806780425928
0.21666666666666667,0.0,0.0,0.20101564599455507,1.1318393086207452e-21,0.2998158217001959,0.401015319217782,0.0,-0.2,0.601015645994555
0.23333333333333334,0.0,0.0,0.20116012055760485,1.531513185152611e-21,0.29976523329871224,0.40115968024568105,0.0,-0.2,0.6011601205576048
0.25,0.0,0.0,0.20131407813860952,2.0149470218528354e-21,0.2997070258650506,0.40131350192929965,0.0,-0.2,0.6013140781386095
0.26666666666666666,0.0,0.0,0.20147749413773483,2.5882363207603822e-21,0.2996410039419515,0.4014767586219474,0.0,-0.2,0.6014774941377348
0.2833333333333333,0.0,0.0,0.20165034296427606,3.256597515449846e-21,0.29956702146134273,0.4016494239372871,0.0,-0.2,0.601650342964276
0.3,0.0,0.0,0.2018325980524315,4.024200047016038e-21,0.29948497425504206,0.40183147073795206,0.0,-0.2,0.6018325980524315
0.31666666666666665,0.0,0.0,0.20202423187701676,4.894089064425811e-21,0.2993947936914816,0.40202287112452234,0.0,-0.2,0.6020242318770168
0.3333333333333333,0.0,0.0,0.20222521596911827,5.868192740820333e-21,0.2992964412688115,0.4022235964258616,0.0,-0.2,0.6022252159691184
0.35,0.0,0.0,0.20243552093168465,6.947336598669905e-21,0.2991899040203091,0.4024336171913627,0.0,-0.2,0.6024355209316847
0.36666666666666664,0.0,0.0,0.2026551164550546,8.13129673955077e-21,0.2990751906097321,0.4026529031853495,0.0,-0.2,0.6026551164550547
0.3833333333333333,0.0,0.0,0.20288397133241956,9.418892959041847e-21,0.2989523280126956,0.40288142338368643,0.0,-0.2,0.6028839713324196
0.4,0.0,0.0,0.20312205347522025,1.0808095035408386e-20,0.29882135869579995,0.4031191459725304,0.0,-0.2,0.6031220534752203
0.4166666666666667,0.0,0.0,0.2033693299284753,1.2296115167791214e-20,0.29868233821854967,0.4033660383490861,0.0,-0.2,0.6033693299284754
0.43333333333333335,0.0,0.0,0.2036257668860409,1.3879463569359907e-20,0.2985353331944078,0.4036220671241901,0.0,-0.2,0.603625766886041
0.45,0.0,0.0,0.2038913297057999,1.5553982442656833e-20,0.2983804195569166,0.4038871981265356,0.0,-0.2,0.6038913297058
0.4666666666666667,0.0,0.0,0.20416598292477967,1.7314863230722375e-20,0.29821768108496266,0.4041613964083459,0.0,-0.2,0.6041659829247797
0.48333333333333334,0.0,0.0,0.20444969027419652,1.915672255636482e-20,0.2980472081481815,0.4044446262523149,0.0,-0.2,0.6044496902741966
